player_id,last_name,round,hole,hole_score,par_value,yardage,shot,shot_type,num_of_strokes,from_location_scorer,from_location_laser,to_location_scorer,to_location_laser,distance,distance_to_pin,in_the_hole,around_the_green,first_putt,dist_to_hole_after_shot,time,lie,elevation,slope,x,y,z,dist_from_center,dist_from_edge,sg_per_hole_per_round_per_player,avg_hole_score_per_round,dg_per_hole_per_round_per_player,rolling_sum_sg_per_hole_per_round_per_player,round_hole_combination,rolling_sum_of_3_hoels_sg_per_hole_per_round_per_player,Birdiable_hole_score
1810,Mickelson,1,18,3,3,235,1,S,1,Tee Box,,Green Side Bunker,Front Left Green Side Bunker,7782,7992,N,Y,,541,1630,Good,With,Level,"10,180.42","9,815.68",487.619,482,177,-0.10000000000000009,2.9,-0.10000000000000009,1.0666666666666664,18,-0.2333333333333334,0.10000000000000009
1810,Mickelson,2,1,5,4,424,1,S,1,Tee Box,,Primary Rough,Left Rough,10002,14868,N,N,,5155,1326,Good,With,Level,"9,146.02","9,708.12",478.636,1201,779,-0.9666666666666668,4.033333333333333,-0.9666666666666668,0.09999999999999964,19,-1.0666666666666669,-0.033333333333333215
1810,Mickelson,2,2,3,3,214,1,S,1,Tee Box,,Green,Unknown,6771,6696,N,N,,321,1338,Good,With,Level,"9,181.11","9,997.28",489.468,318,67,0.2666666666666666,3.2666666666666666,0.2666666666666666,0.36666666666666625,20,-0.8000000000000003,-0.2666666666666666
1810,Mickelson,2,3,4,4,387,1,S,1,Tee Box,,Primary Rough,Left Rough,10352,13716,N,N,,3540,1344,Good,With,Level,"8,432.78","10,012.47",509.039,611,152,-0.1333333333333333,3.8666666666666667,-0.1333333333333333,0.23333333333333295,21,-0.8333333333333335,0.1333333333333333
1810,Mickelson,2,4,4,4,440,1,S,1,Tee Box,,Fairway,Right Fairway,11065,16200,N,N,,5115,1355,Good,With,Level,"8,105.93","9,223.45",512.356,354,76,0.13333333333333375,4.133333333333334,0.13333333333333375,0.3666666666666667,22,0.26666666666666705,-0.13333333333333375
1810,Mickelson,2,5,4,4,520,1,S,1,Tee Box,,Fairway,Right Fairway,12962,19260,N,N,,6275,1410,Good,With,Level,"9,271.70","8,587.17",483.39,149,155,0.20000000000000018,4.2,0.20000000000000018,0.5666666666666669,23,0.20000000000000062,-0.20000000000000018
1810,Mickelson,2,6,3,3,209,1,S,1,Tee Box,,Green,Unknown,7128,7272,N,N,,387,1429,Good,With,Level,"9,841.78","8,785.17",475.196,341,0,-0.06666666666666687,2.933333333333333,-0.06666666666666687,0.5,24,0.26666666666666705,0.06666666666666687
1810,Mickelson,2,7,5,4,434,1,S,1,Tee Box,,Fairway,Right Fairway,9895,15408,N,N,,5651,1437,Good,With,Level,"8,927.86","9,020.66",497.93,301,7,-0.9333333333333336,4.066666666666666,-0.9333333333333336,-0.43333333333333357,25,-0.8000000000000003,-0.06666666666666643
1810,Mickelson,2,8,4,4,405,1,S,1,Tee Box,,Fairway,Right Fairway,10545,14868,N,N,,4650,1453,Good,With,Level,"8,439.19","9,429.59",526.911,307,53,-0.2999999999999998,3.7,-0.2999999999999998,-0.7333333333333334,26,-1.3000000000000003,0.2999999999999998
1810,Mickelson,2,9,5,5,600,1,S,1,Tee Box,,Primary Rough,Right Rough,11476,21600,N,N,,10557,1505,Good,With,Level,"8,968.79","9,501.44",495.3,1092,456,-0.43333333333333357,4.566666666666666,-0.43333333333333357,-1.166666666666667,27,-1.666666666666667,0.43333333333333357
1810,Mickelson,2,10,3,4,469,1,S,1,Tee Box,,Primary Rough,Right Rough,10677,16956,N,N,,6238,1522,Good,With,Level,"11,132.34","9,917.02",509.309,720,485,1.2333333333333334,4.233333333333333,1.2333333333333334,0.06666666666666643,28,0.5,-0.2333333333333334
1810,Mickelson,2,11,3,3,197,1,S,1,Tee Box,,Green,Unknown,7241,7308,N,N,,189,1537,Good,With,Level,"12,215.86","9,854.75",546.614,170,300,-0.033333333333333215,2.966666666666667,-0.033333333333333215,0.033333333333333215,29,0.7666666666666666,0.033333333333333215
1810,Mickelson,2,12,4,4,391,1,S,1,Tee Box,,Fairway Bunker,Unknown,9754,13932,N,N,,4231,1544,Good,With,Level,"11,458.09","9,709.14",519.264,852,282,-0.1333333333333333,3.8666666666666667,-0.1333333333333333,-0.10000000000000009,30,1.0666666666666669,0.1333333333333333
1810,Mickelson,2,13,4,4,476,1,S,1,Tee Box,,Fairway,Left Fairway,9715,17136,N,N,,7432,1555,Good,With,Level,"11,618.10","9,449.05",519.951,237,123,0.0,4.0,0.0,-0.10000000000000009,31,-0.16666666666666652,0.0
1810,Mickelson,2,14,4,4,442,1,S,1,Tee Box,,Intermediate Rough,Left Intermediate,11271,16344,N,N,,5101,1608,Good,With,Level,"11,332.27","9,260.37",511.41,435,74,0.0,4.0,0.0,-0.10000000000000009,32,-0.1333333333333333,0.0
1810,Mickelson,2,15,4,5,525,1,S,1,Tee Box,,Primary Rough,Left Rough,10082,18576,N,N,,8780,1622,Good,With,Level,"11,545.02","9,039.99",504.048,558,138,0.2999999999999998,4.3,0.2999999999999998,0.19999999999999973,33,0.2999999999999998,0.7000000000000002
