distance_to_pin,lie,strokes_to_hole_out
138.44444444444446,Fairway,3
5.888888888888889,Green,2
0.027777777777777776,Green,1
404.0,Tee Box,4
102.02777777777777,Fairway,3
2.861111111111111,Green,2
0.75,Green,1
588.0,Tee Box,5
294.27777777777777,Fairway,4
89.25,Intermediate Rough,3
2.138888888888889,Green,2
0.3888888888888889,Green,1
459.0,Tee Box,4
175.30555555555554,Fairway,3
11.5,Green Side Bunker,2
2.25,Green,1
179.0,Tee Box,5
22.944444444444443,Green Side Bunker,4
4.833333333333333,Green,3
1.0833333333333333,Green,2
0.5833333333333334,Green,1
401.0,Tee Box,3
130.55555555555554,Fairway,2
2.611111111111111,Green,1
468.0,Tee Box,6
167.69444444444446,Primary Rough,5
18.38888888888889,Green Side Bunker,4
18.194444444444443,Green Side Bunker,3
5.083333333333333,Green,2
1.3333333333333333,Green,1
452.0,Tee Box,4
138.86111111111111,Fairway,3
13.083333333333334,Green,2
0.9444444444444444,Green,1
529.0,Tee Box,5
239.86111111111111,Fairway,4
16.194444444444443,Primary Rough,3
6.722222222222222,Green,2
0.16666666666666666,Green,1
477.0,Tee Box,4
147.72222222222223,Intermediate Rough,3
6.5,Green,2
0.3611111111111111,Green,1
459.0,Tee Box,3
146.05555555555554,Fairway,2
5.333333333333333,Green,1
222.0,Tee Box,3
16.444444444444443,Green Side Bunker,2
3.0555555555555554,Green,1
429.0,Tee Box,4
134.0,Primary Rough,3
17.444444444444443,Green,2
1.1111111111111112,Green,1
217.0,Tee Box,3
8.916666666666666,Green,2
0.3611111111111111,Green,1
374.0,Tee Box,7
86.27777777777777,Primary Rough,6
61.083333333333336,Primary Rough,5
16.02777777777778,Fairway,4
8.833333333333334,Green Side Bunker,3
3.0555555555555554,Green,2
0.5277777777777778,Green,1
438.0,Tee Box,4
147.63888888888889,Primary Rough,3
12.305555555555555,Green,2
1.1111111111111112,Green,1
516.0,Tee Box,4
211.25,Primary Rough,3
28.5,Green,2
2.0,Green,1
215.0,Tee Box,3
24.0,Primary Rough,2
3.0555555555555554,Green,1
439.0,Tee Box,4
126.86111111111111,Fairway,3
7.75,Green,2
0.08333333333333333,Green,1
404.0,Tee Box,3
120.69444444444444,Fairway Bunker,2
5.75,Green,1
588.0,Tee Box,5
273.80555555555554,Fairway,4
19.86111111111111,Primary Rough,3
3.6666666666666665,Green,2
0.2777777777777778,Green,1
459.0,Tee Box,5
186.5,Primary Rough,4
17.944444444444443,Intermediate Rough,3
5.305555555555555,Green,2
0.7777777777777778,Green,1
179.0,Tee Box,3
8.75,Fringe,2
0.2222222222222222,Green,1
401.0,Tee Box,5
82.02777777777777,Primary Rough,4
6.916666666666667,Primary Rough,3
3.5555555555555554,Green,2
0.3611111111111111,Green,1
468.0,Tee Box,4
192.13888888888889,Fairway,3
6.277777777777778,Green,2
0.3611111111111111,Green,1
452.0,Tee Box,4
152.05555555555554,Primary Rough,3
11.277777777777779,Green,2
0.1111111111111111,Green,1
529.0,Tee Box,5
247.47222222222223,Primary Rough,4
30.25,Green Side Bunker,3
4.222222222222222,Green,2
0.3333333333333333,Green,1
477.0,Tee Box,4
179.25,Primary Rough,3
16.416666666666668,Green,2
1.6944444444444444,Green,1
459.0,Tee Box,4
160.52777777777777,Fairway,3
10.38888888888889,Green,2
0.9166666666666666,Green,1
222.0,Tee Box,2
2.388888888888889,Green,1
429.0,Tee Box,4
135.22222222222223,Fairway,3
8.166666666666666,Green,2
0.5833333333333334,Green,1
217.0,Tee Box,4
5.916666666666667,Unknown,3
5.916666666666667,Green,2
0.7777777777777778,Green,1
374.0,Tee Box,4
82.05555555555556,Fairway,3
4.277777777777778,Green,2
0.3055555555555556,Green,1
438.0,Tee Box,3
148.75,Intermediate Rough,2
11.666666666666666,Fringe,1
516.0,Tee Box,5
221.55555555555554,Primary Rough,4
15.194444444444445,Green,3
1.5833333333333333,Green,2
0.6111111111111112,Green,1
439.0,Tee Box,4
144.86111111111111,Fairway,3
4.277777777777778,Green,2
0.4444444444444444,Green,1
404.0,Tee Box,4
161.72222222222223,Primary Rough,3
20.47222222222222,Green Side Bunker,2
1.5833333333333333,Green,1
588.0,Tee Box,4
289.97222222222223,Fairway,3
42.44444444444444,Primary Rough,2
4.333333333333333,Green,1
459.0,Tee Box,5
192.72222222222223,Primary Rough,4
21.333333333333332,Green Side Bunker,3
4.583333333333333,Green,2
0.1111111111111111,Green,1
179.0,Tee Box,3
4.972222222222222,Green,2
0.75,Green,1
401.0,Tee Box,3
98.33333333333333,Fairway,2
1.3888888888888888,Green,1
468.0,Tee Box,4
209.52777777777777,Fairway,3
11.833333333333334,Fringe,2
0.8611111111111112,Green,1
452.0,Tee Box,3
140.94444444444446,Primary Rough,2
1.25,Green,1
529.0,Tee Box,5
241.86111111111111,Fairway,4
61.47222222222222,Fairway,3
5.111111111111111,Green,2
0.3611111111111111,Green,1
477.0,Tee Box,3
179.80555555555554,Fairway Bunker,2
2.3333333333333335,Green,1
459.0,Tee Box,4
183.11111111111111,Primary Rough,3
23.805555555555557,Other,2
1.9444444444444444,Green,1
222.0,Tee Box,3
14.472222222222221,Green,2
1.4166666666666667,Green,1
429.0,Tee Box,4
124.05555555555556,Fairway,3
8.027777777777779,Green,2
1.6111111111111112,Green,1
217.0,Tee Box,4
18.47222222222222,Green,3
2.3055555555555554,Green,2
0.2222222222222222,Green,1
374.0,Tee Box,4
104.0,Primary Rough,3
7.916666666666667,Green,2
0.1388888888888889,Green,1
438.0,Tee Box,4
151.69444444444446,Primary Rough,3
8.75,Green,2
0.1388888888888889,Green,1
516.0,Tee Box,5
224.11111111111111,Fairway,4
14.5,Primary Rough,3
1.0,Green,2
1.3333333333333333,Green,1
215.0,Tee Box,3
4.805555555555555,Green,2
0.5555555555555556,Green,1
439.0,Tee Box,5
166.52777777777777,Fairway Bunker,4
24.38888888888889,Primary Rough,3
3.361111111111111,Green,2
0.5,Green,1
404.0,Tee Box,5
111.61111111111111,Fairway Bunker,4
20.86111111111111,Primary Rough,3
2.0277777777777777,Green,2
0.1388888888888889,Green,1
588.0,Tee Box,5
309.9166666666667,Fairway,4
78.75,Fairway,3
5.083333333333333,Green,2
0.7777777777777778,Green,1
459.0,Tee Box,3
193.66666666666666,Fairway,2
12.083333333333334,Green,1
179.0,Tee Box,3
9.88888888888889,Green,2
1.8888888888888888,Green,1
401.0,Tee Box,3
81.69444444444444,Fairway,2
0.6388888888888888,Green,1
468.0,Tee Box,4
198.16666666666666,Fairway,3
15.722222222222221,Green,2
0.8888888888888888,Green,1
452.0,Tee Box,4
146.77777777777777,Intermediate Rough,3
12.944444444444445,Green,2
0.5555555555555556,Green,1
529.0,Tee Box,4
245.38888888888889,Fairway,3
18.805555555555557,Green Side Bunker,2
1.3333333333333333,Green,1
477.0,Tee Box,5
